firewire.cl.	['apple.com', 'apple.com']
geoport.com.	['apple.com', 'apple.com']
home.uol.com.br.	['uol.com.br']
ibookpartner.com.	['apple.com', 'apple.com']
icloud.ch.	['apple.com', 'apple.com', 'apple.com']
icloud.es.	['apple.com', 'apple.com', 'apple.com']
icloud.fr.	['apple.com', 'apple.com', 'apple.com']
icloud.om.	['apple.com', 'apple.com', 'apple.com']
icloud.se.	['apple.com', 'apple.com', 'apple.com']
icloude.com.	['apple.com', 'apple.com', 'apple.com']
icloudo.com.	['apple.com', 'apple.com', 'apple.com']
ikids.com.	['apple.com', 'apple.com']
imac-apple.com.	['apple.com', 'apple.com']
imac-applecomputer.com.	['apple.com', 'apple.com']
imacsources.com.	['apple.com', 'apple.com']
imoviegallery.com.	['apple.com', 'apple.com']
imoviestage.com.	['apple.com', 'apple.com']
imovietheater.com.	['apple.com', 'apple.com']
inkblotpasswords.com.	['live.com']
insidemacintosh.com.	['apple.com', 'apple.com']
ip-103-23-108-107.static.pixnet.tw.	['pixnet.net']
ip159.156.odnoklassniki.ru.	['ok.ru']
ip5.23.odnoklassniki.ru.	['ok.ru']
ip58.155.odnoklassniki.ru.	['ok.ru']
ipa-iphone.net.	['apple.com', 'apple.com']
ir1.fp.vip.gq1.yahoo.com.	['yahoo.com']
ir1.fp.vip.ne1.yahoo.com.	['yahoo.com']
ir2.fp.vip.bf1.yahoo.com.	['yahoo.com']
ischool.com.	['apple.com', 'apple.com']
itunesops.com.	['apple.com', 'apple.com']
jetfuelapp.com.	['apple.com', 'apple.com']
jetfuelapps.com.	['apple.com', 'apple.com']
ko.mail.ru.	['mail.ru']
mach-os.com.	['apple.com', 'apple.com']
mach-os.net.	['apple.com', 'apple.com']
machos.net.	['apple.com', 'apple.com']
macintoshsoftware.com.	['apple.com', 'apple.com']
macmate.com.	['apple.com', 'apple.com']
macosx.info.	['apple.com', 'apple.com', 'apple.com']
macreach.com.	['apple.com', 'apple.com']
macreach.net.	['apple.com', 'apple.com']
mapcruncher.com.	['live.com']
mapcruncher.net.	['live.com']
mapcruncher.org.	['live.com']
messengerskydrive.com.	['live.com']
microsoft-skydrive.com.	['live.com']
mobileme.com.	['apple.com', 'apple.com']
ms.mail.ru.	['mail.ru', 'mail.ru']
msnskydrive.com.	['live.com']
msnspaces.co.uk.	['live.com']
myapple.net.	['apple.com', 'apple.com']
nwk-apple.apple.com.	['apple.com', 'apple.com']
oa-in-f94.1e100.net.	['google.ca']
openni.org.	['apple.com', 'apple.com', 'apple.com']
pages.ebay.com.	['ebay.com']
pages.intl.ebay.com.	['ebay.co.uk', 'ebay.co.uk']
paypal.com.	['PayPal.com', 'PayPal.com']
playquicktime.com.	['apple.com', 'apple.com']
playquicktime.net.	['apple.com', 'apple.com']
powerbook.cc.	['apple.com', 'apple.com']
powerbook.info.	['apple.com', 'apple.com', 'apple.com']
powermac.info.	['apple.com', 'apple.com', 'apple.com']
publishing-research.com.	['apple.com', 'apple.com']
publishing-research.org.	['apple.com', 'apple.com']
publishing-survey.com.	['apple.com', 'apple.com']
publishing-survey.org.	['apple.com', 'apple.com']
publishingresearch.com.	['apple.com', 'apple.com']
publishingresearch.org.	['apple.com', 'apple.com']
publishingsurvey.com.	['apple.com', 'apple.com']
publishingsurvey.org.	['apple.com', 'apple.com']
pv-apple-com.apple.com.	['apple.com']
qt-tv.net.	['apple.com', 'apple.com']
qtml.com.	['apple.com', 'apple.com']
qttv.net.	['apple.com', 'apple.com']
quicktime.cc.	['apple.com', 'apple.com']
quicktimelive.info.	['apple.com', 'apple.com', 'apple.com']
quicktimestreaming.com.	['apple.com', 'apple.com']
quicktimestreaming.net.	['apple.com', 'apple.com']
quicktimetv.info.	['apple.com', 'apple.com', 'apple.com']
r-199-59-148-12.twttr.com.	['t.co']
r-199-59-150-44.twttr.com.	['t.co']
r1.ycpi.vip.hka.yahoo.net.	['answers.yahoo.com']
r2.ycpi.vip.hka.yahoo.net.	['answers.yahoo.com']
redirect.globo.com.	['globo.com']
redirect.rakuten.co.jp.	['rakuten.co.jp']
rip-mix-burn.com.	['apple.com', 'apple.com']
ripmixburn.com.	['apple.com', 'apple.com', 'apple.com']
securehotmail.biz.	['live.com']
securehotmail.com.	['live.com']
securehotmail.info.	['live.com']
securehotmail.net.	['live.com']
securehotmail.org.	['live.com']
securehotmail.us.	['live.com']
sg1.any.onet.pl.	['onet.pl']
sherlock.info.	['apple.com', 'apple.com', 'apple.com']
shopdifferent.info.	['apple.com', 'apple.com', 'apple.com']
skyvines.info.	['apple.com', 'apple.com', 'apple.com']
srv83-165-240-87.vk.com.	['vk.com']
srv91-165-240-87.vk.com.	['vk.com']
st11p01ww-apple.apple.com.	['apple.com']
streamquicktime.com.	['apple.com', 'apple.com']
streamquicktime.net.	['apple.com', 'apple.com']
surveys-temp.apple.com.	['apple.com', 'apple.com']
swell.am.	['apple.com', 'apple.com', 'apple.com']
text-lb.codfw.wikimedia.org.	['wikipedia.org']
theatermode.com.	['apple.com', 'apple.com']
theatremode.com.	['apple.com', 'apple.com']
thinkdifferent.com.	['apple.com', 'apple.com']
ubnw.info.	['apple.com', 'apple.com', 'apple.com']
universityarts.com.	['apple.com', 'apple.com']
unknown.servercentral.net.	['outbrain.com', 'outbrain.com']
velocity-engine.com.	['apple.com', 'apple.com']
velocityengine.com.	['apple.com', 'apple.com']
webobjects.info.	['apple.com', 'apple.com', 'apple.com']
windowslivecalling.com.	['live.com']
windowslivecontent.com.	['live.com']
windowslivedev.com.	['live.com']
windowslivedevelopment.com.	['live.com']
windowslivedevice.com.	['live.com']
windowslivedrive.com.	['live.com']
windowslivedrive.mobi.	['live.com']
windowslivedrive.net.	['live.com']
windowslivedrive.org.	['live.com']
windowslivegame.com.	['live.com']
windowslivemedia.com.	['live.com']
windowslivemobile.com.	['live.com']
windowsliveoffice.com.	['live.com']
windowsliveplatform.com.	['live.com']
windowsliverelease.com.	['live.com']
windowslivesecurity.com.	['live.com']
windowslivesite.com.	['live.com']
windowslivespace.com.	['live.com']
windowslivestuff.com.	['live.com']
windowslivetools.com.	['live.com']
windowslivevoice.com.	['live.com']
windowsliveweb.com.	['live.com']
www.booking.com.	['booking.com']
www.craigslist.org.	['craigslist.org']
www.home.live.com.	['live.com']
www.v.dropbox.com.	['dropbox.com', 'dropbox.com']
xnacreators.net.	['microsoftonline.com']
xserve.com.	['apple.com', 'apple.com']
xserve.net.	['apple.com', 'apple.com']
yandex.ru.	['yandex.ru', 'yandex.ru', 'yandex.ru', 'yandex.ru']
yessql.info.	['apple.com', 'apple.com', 'apple.com']
zz-8-82-a8.bta.net.cn.	['cntv.cn']
